income,credit_score,debt_to_income,years_employed,age,education_level,num_credit_accounts,neighborhood_code,loan_amount_requested,has_cosigner,approved
62840.63,646,0.188,0.0,21,0,6,5,95168.25,1,0
45746.38,644,0.17,4.6,19,0,6,3,37522.46,0,0
67767.92,536,0.511,12.4,29,1,3,2,25146.39,0,0
104978.93,654,0.319,3.6,40,2,11,2,18938.47,1,0
43604.83,739,0.384,0.0,20,2,6,5,71625.26,0,1
43605.19,578,0.085,1.2,35,1,6,1,7755.47,1,1
107969.75,764,0.461,12.8,64,1,4,5,85354.87,0,1
71949.33,719,0.326,0.1,23,1,4,2,33901.0,0,0
38764.6,621,0.061,2.5,67,2,5,1,40131.66,1,1
64297.76,669,0.401,7.8,63,0,4,2,81173.98,1,0
38882.17,808,0.245,9.1,61,0,7,9,82346.84,0,1
38837.25,739,0.303,3.2,63,1,6,2,43000.86,0,0
55325.05,681,0.141,1.3,22,1,11,10,57613.34,0,1
20000.0,661,0.311,4.6,26,2,1,7,69524.92,1,0
20692.8,686,0.041,1.5,25,1,4,7,70417.62,0,0
37006.77,639,0.097,1.5,24,0,8,8,55735.24,0,0
29542.48,512,0.518,8.2,35,0,1,1,85190.02,0,0
57361.22,843,0.242,0.8,61,3,3,7,84936.85,0,0
31131.89,692,0.191,0.0,31,0,17,7,85636.18,0,0
24193.71,712,0.305,2.1,31,0,5,1,30480.73,0,0
102009.82,675,0.365,3.4,53,2,5,10,29406.02,0,1
43787.86,621,0.261,6.1,23,1,10,6,18283.1,0,1
50704.2,665,0.694,7.6,37,1,5,6,83507.94,1,1
24043.64,552,0.337,5.4,33,1,6,8,10762.73,0,1
37339.56,850,0.247,4.9,62,3,2,8,17854.02,0,1
51816.36,581,0.028,5.5,45,0,3,2,92989.96,0,0
27570.54,597,0.144,1.6,52,1,3,7,16885.77,1,1
59151.01,645,0.255,2.4,25,1,10,7,16521.85,0,0
36303.91,783,0.045,4.8,66,0,5,10,91365.39,0,0
42368.19,681,0.361,0.3,35,1,6,7,34459.86,0,0
36284.53,581,0.084,1.8,55,2,5,6,88735.24,0,1
123764.9,780,0.212,2.6,68,1,1,10,40877.37,0,1
48691.09,738,0.248,3.8,44,2,2,2,40495.76,0,0
28886.93,723,0.58,3.3,44,1,6,6,17842.34,0,0
73959.47,737,0.721,6.3,24,2,10,2,92269.16,0,1
26624.26,850,0.434,3.2,38,2,5,9,77360.27,0,0
54417.0,850,0.161,11.7,62,1,6,3,26436.69,0,0
20000.0,625,0.243,2.4,25,2,3,7,74140.78,0,0
25232.98,810,0.182,3.7,66,1,3,6,14850.81,1,1
54091.41,711,0.208,0.0,53,1,2,9,54762.03,0,1
70914.72,720,0.203,1.9,40,1,2,6,29155.38,0,1
53406.31,545,0.14,10.1,46,0,3,4,85805.52,0,0
46266.61,666,0.37,2.0,26,2,8,5,53557.27,0,0
42169.32,615,0.416,1.5,29,1,9,7,92515.1,1,0
23405.8,746,0.149,3.9,33,1,3,2,60590.64,0,0
34203.32,766,0.159,0.4,38,0,4,8,52877.81,0,0
38936.24,514,0.482,3.8,66,1,8,7,70923.79,0,0
83163.27,678,0.14,1.8,37,3,6,8,79477.27,0,0
58209.81,770,0.356,2.4,45,2,7,3,6449.49,0,0
20302.11,665,0.518,7.8,26,1,6,10,54616.94,0,1
57644.03,738,0.107,5.4,56,1,4,2,78693.15,0,1
40435.32,708,0.163,3.0,47,1,3,7,43712.03,1,1
34945.29,707,0.175,4.3,41,0,6,8,9286.37,1,0
66558.61,658,0.22,7.3,67,1,6,2,6667.6,0,1
82084.11,583,0.287,6.8,64,1,6,8,80415.81,0,1
78091.78,590,0.177,1.0,52,3,5,7,23817.19,0,1
32221.57,737,0.335,1.8,66,1,7,1,21617.09,0,1
41998.69,682,0.378,2.1,47,1,4,2,32508.26,0,0
57851.33,669,0.776,1.0,61,3,8,5,14705.98,0,0
79839.41,646,0.485,0.1,39,1,1,10,10062.22,0,0
38577.05,656,0.36,1.0,23,0,8,8,87864.56,0,0
44675.05,764,0.256,8.3,70,1,8,1,33764.44,0,1
28193.1,653,0.222,3.9,27,1,8,9,60327.24,0,0
26954.26,573,0.461,2.1,31,2,3,8,86491.08,0,1
73589.89,739,0.206,4.7,26,0,5,1,97858.68,0,0
96579.33,664,0.21,6.7,36,2,3,9,70406.58,0,1
47287.2,683,0.141,2.2,33,2,3,5,95265.59,0,1
80964.53,809,0.221,3.1,49,1,11,2,45234.56,0,0
58736.58,678,0.12,0.3,70,0,4,7,80006.7,0,0
35505.4,703,0.263,4.5,21,1,5,5,94072.26,0,0
58729.52,586,0.211,2.2,58,1,4,6,10050.14,0,0
105769.59,662,0.279,2.8,25,1,5,9,35157.61,0,1
48150.51,729,0.258,2.7,19,1,8,10,75324.08,1,0
107186.1,556,0.381,5.0,51,1,3,4,34950.64,1,1
20000.0,696,0.274,4.2,63,3,7,10,6618.08,0,0
73935.71,688,0.336,2.7,27,1,3,3,81667.4,1,0
51201.47,683,0.338,0.1,36,1,2,1,20648.67,0,0
42213.54,763,0.308,4.9,27,2,5,4,35482.53,0,0
